EFF_DATE,COUNTRY,LATITUDE,LONGITUDE,CONFIRMED_CUML,DEATHS_CUML,RECOVERED_CUML,ACTIVE_CUML,CONFIRMED_ABS,DEATHS_ABS,RECOVERED_ABS
2020-03-04,Liechtenstein,47.149454545,9.551963636,1,0,0,1,1,0,0
2020-03-05,Liechtenstein,47.149454545,9.551963636,1,0,0,1,0,0,0
2020-03-06,Liechtenstein,47.149454545,9.551963636,1,0,0,1,0,0,0
2020-03-07,Liechtenstein,47.149454545,9.551963636,1,0,0,1,0,0,0
2020-03-08,Liechtenstein,47.149454545,9.551963636,1,0,0,1,0,0,0
2020-03-09,Liechtenstein,47.149454545,9.551963636,1,0,0,1,0,0,0
2020-03-10,Liechtenstein,47.149454545,9.551963636,1,0,0,1,0,0,0
2020-03-11,Liechtenstein,47.149454545,9.551963636,1,0,0,1,0,0,0
2020-03-12,Liechtenstein,47.149454545,9.551963636,1,0,0,1,0,0,0
2020-03-13,Liechtenstein,47.149454545,9.551963636,1,0,0,1,0,0,0
2020-03-14,Liechtenstein,47.149454545,9.551963636,4,0,0,4,3,0,0
2020-03-15,Liechtenstein,47.149454545,9.551963636,4,0,0,4,0,0,0
2020-03-16,Liechtenstein,47.149454545,9.551963636,4,0,0,4,0,0,0
2020-03-17,Liechtenstein,47.149454545,9.551963636,7,0,0,7,3,0,0
2020-03-18,Liechtenstein,47.149454545,9.551963636,28,0,0,28,21,0,0
2020-03-19,Liechtenstein,47.149454545,9.551963636,28,0,0,28,0,0,0
2020-03-20,Liechtenstein,47.149454545,9.551963636,28,0,0,28,0,0,0
2020-03-21,Liechtenstein,47.149454545,9.551963636,37,0,0,37,9,0,0
2020-03-22,Liechtenstein,47.149454545,9.551963636,37,0,0,37,0,0,0
2020-03-23,Liechtenstein,47.149454545,9.551963636,51,0,0,51,14,0,0
2020-03-24,Liechtenstein,47.149454545,9.551963636,51,0,0,51,0,0,0
2020-03-25,Liechtenstein,47.149454545,9.551963636,51,0,0,51,0,0,0
2020-03-21,Cape Verde,15.1111,-23.6167,1,0,0,1,1,0,0
2020-03-14,Uruguay,-32.5228,-55.7658,4,0,0,4,4,0,0
2020-03-15,Uruguay,-32.5228,-55.7658,4,0,0,4,0,0,0
2020-03-16,Uruguay,-32.5228,-55.7658,8,0,0,8,4,0,0
2020-03-17,Uruguay,-32.5228,-55.7658,29,0,0,29,21,0,0
2020-03-18,Uruguay,-32.5228,-55.7658,50,0,0,50,21,0,0
2020-03-19,Uruguay,-32.5228,-55.7658,79,0,0,79,29,0,0
2020-03-20,Uruguay,-32.5228,-55.7658,94,0,0,94,15,0,0
2020-03-21,Uruguay,-32.5228,-55.7658,110,0,0,110,16,0,0
2020-03-22,Uruguay,-32.5228,-55.7658,135,0,0,135,25,0,0
2020-03-23,Uruguay,-32.5228,-55.7658,158,0,0,158,23,0,0
2020-03-24,Uruguay,-32.5228,-55.7658,162,0,0,162,4,0,0
2020-03-25,Uruguay,-32.5228,-55.7658,189,0,0,189,27,0,0
2020-03-03,Jordan,31.012243478,36.415530435,1,0,0,1,1,0,0
2020-03-04,Jordan,31.012243478,36.415530435,1,0,0,1,0,0,0
2020-03-05,Jordan,31.012243478,36.415530435,1,0,0,1,0,0,0
2020-03-06,Jordan,31.012243478,36.415530435,1,0,0,1,0,0,0
2020-03-07,Jordan,31.012243478,36.415530435,1,0,0,1,0,0,0
2020-03-08,Jordan,31.012243478,36.415530435,1,0,0,1,0,0,0
2020-03-09,Jordan,31.012243478,36.415530435,1,0,0,1,0,0,0
2020-03-10,Jordan,31.012243478,36.415530435,1,0,0,1,0,0,0
2020-03-11,Jordan,31.012243478,36.415530435,1,0,0,1,0,0,0
2020-03-12,Jordan,31.012243478,36.415530435,1,0,0,1,0,0,0
2020-03-13,Jordan,31.012243478,36.415530435,1,0,1,0,0,0,1
2020-03-14,Jordan,31.012243478,36.415530435,1,0,1,0,0,0,0
2020-03-15,Jordan,31.012243478,36.415530435,8,0,1,7,7,0,0
2020-03-16,Jordan,31.012243478,36.415530435,17,0,1,16,9,0,0
2020-03-17,Jordan,31.012243478,36.415530435,34,0,1,33,17,0,0
2020-03-18,Jordan,31.012243478,36.415530435,52,0,1,51,18,0,0
2020-03-19,Jordan,31.012243478,36.415530435,69,0,1,68,17,0,0
2020-03-20,Jordan,31.012243478,36.415530435,85,0,1,84,16,0,0
2020-03-21,Jordan,31.012243478,36.415530435,85,0,1,84,0,0,0
2020-03-22,Jordan,31.012243478,36.415530435,112,0,1,111,27,0,0
2020-03-23,Jordan,31.012243478,36.415530435,127,0,1,126,15,0,0
2020-03-24,Jordan,31.012243478,36.415530435,154,0,1,153,27,0,0
2020-03-25,Jordan,31.012243478,36.415530435,172,0,1,171,18,0,0
2020-02-27,Estonia,58.5953,25.0136,1,0,0,1,1,0,0
2020-02-28,Estonia,58.5953,25.0136,1,0,0,1,0,0,0
2020-02-29,Estonia,58.5953,25.0136,1,0,0,1,0,0,0
2020-03-01,Estonia,58.5953,25.0136,1,0,0,1,0,0,0
2020-03-02,Estonia,58.5953,25.0136,1,0,0,1,0,0,0
2020-03-03,Estonia,58.5953,25.0136,2,0,0,2,1,0,0
2020-03-04,Estonia,58.5953,25.0136,2,0,0,2,0,0,0
2020-03-05,Estonia,58.5953,25.0136,3,0,0,3,1,0,0
2020-03-06,Estonia,58.5953,25.0136,10,0,0,10,7,0,0
2020-03-07,Estonia,58.5953,25.0136,10,0,0,10,0,0,0
2020-03-08,Estonia,58.5953,25.0136,10,0,0,10,0,0,0
2020-03-09,Estonia,58.5953,25.0136,10,0,0,10,0,0,0
2020-03-10,Estonia,58.5953,25.0136,12,0,0,12,2,0,0
2020-03-11,Estonia,58.5953,25.0136,16,0,0,16,4,0,0
2020-03-12,Estonia,58.5953,25.0136,16,0,0,16,0,0,0
2020-03-13,Estonia,58.5953,25.0136,79,0,0,79,63,0,0
2020-03-14,Estonia,58.5953,25.0136,115,0,0,115,36,0,0
2020-03-15,Estonia,58.5953,25.0136,171,0,1,170,56,0,1
2020-03-16,Estonia,58.5953,25.0136,205,0,1,204,34,0,0
2020-03-17,Estonia,58.5953,25.0136,225,0,1,224,20,0,0
2020-03-18,Estonia,58.5953,25.0136,258,0,1,257,33,0,0
2020-03-19,Estonia,58.5953,25.0136,267,0,1,266,9,0,0
2020-03-20,Estonia,58.5953,25.0136,283,0,1,282,16,0,0
2020-03-21,Estonia,58.5953,25.0136,306,0,1,305,23,0,0
2020-03-22,Estonia,58.5953,25.0136,326,0,4,322,20,0,3
2020-03-23,Estonia,58.5953,25.0136,352,0,4,348,26,0,0
2020-03-24,Estonia,58.5953,25.0136,369,0,7,362,17,0,3
2020-03-25,Estonia,58.5953,25.0136,404,1,8,395,35,1,1
2020-02-29,Qatar,25.3548,51.1839,1,0,0,1,1,0,0
2020-03-01,Qatar,25.3548,51.1839,3,0,0,3,2,0,0
2020-03-02,Qatar,25.3548,51.1839,3,0,0,3,0,0,0
2020-03-03,Qatar,25.3548,51.1839,7,0,0,7,4,0,0
2020-03-04,Qatar,25.3548,51.1839,8,0,0,8,1,0,0
2020-03-05,Qatar,25.3548,51.1839,8,0,0,8,0,0,0
2020-03-06,Qatar,25.3548,51.1839,8,0,0,8,0,0,0
2020-03-07,Qatar,25.3548,51.1839,8,0,0,8,0,0,0
2020-03-08,Qatar,25.3548,51.1839,15,0,0,15,7,0,0
2020-03-09,Qatar,25.3548,51.1839,18,0,0,18,3,0,0
2020-03-10,Qatar,25.3548,51.1839,24,0,0,24,6,0,0
2020-03-11,Qatar,25.3548,51.1839,262,0,0,262,238,0,0
2020-03-12,Qatar,25.3548,51.1839,262,0,0,262,0,0,0
2020-03-13,Qatar,25.3548,51.1839,320,0,0,320,58,0,0
2020-03-14,Qatar,25.3548,51.1839,337,0,4,333,17,0,4
2020-03-15,Qatar,25.3548,51.1839,401,0,4,397,64,0,0
2020-03-16,Qatar,25.3548,51.1839,439,0,4,435,38,0,0
2020-03-17,Qatar,25.3548,51.1839,439,0,4,435,0,0,0
2020-03-18,Qatar,25.3548,51.1839,452,0,4,448,13,0,0
2020-03-19,Qatar,25.3548,51.1839,460,0,4,456,8,0,0
2020-03-20,Qatar,25.3548,51.1839,470,0,10,460,10,0,6
2020-03-21,Qatar,25.3548,51.1839,481,0,27,454,11,0,17
2020-03-22,Qatar,25.3548,51.1839,494,0,33,461,13,0,6
2020-03-23,Qatar,25.3548,51.1839,501,0,33,468,7,0,0
2020-03-24,Qatar,25.3548,51.1839,526,0,41,485,25,0,8
2020-03-25,Qatar,25.3548,51.1839,537,0,41,496,11,0,0
2020-01-31,Russia,60.825501667,98.297676,2,0,0,2,2,0,0
2020-02-01,Russia,60.825501667,98.297676,2,0,0,2,0,0,0
2020-02-02,Russia,60.825501667,98.297676,2,0,0,2,0,0,0
2020-02-03,Russia,60.825501667,98.297676,2,0,0,2,0,0,0
2020-02-04,Russia,60.825501667,98.297676,2,0,0,2,0,0,0
2020-02-05,Russia,60.825501667,98.297676,2,0,0,2,0,0,0
2020-02-06,Russia,60.825501667,98.297676,2,0,0,2,0,0,0
2020-02-07,Russia,60.825501667,98.297676,2,0,0,2,0,0,0
